Vancouver — Rental Market Statistics Summary by Zone
October 2016 Row / Apartment Bedroom Type - Total
,Vacancy Rate (%),,Availability Rate (%),,Average Rent ($),,Median Rent ($),,% Change,,Units,
West End/Stanley Park,0.6,a ,0.7,a ,"1,418",a ,"1,350",a ,5.3,b ,"3,874",
English Bay,0.8,a ,0.8,a ,"1,473",a ,"1,438",a ,10.7,a ,"6,770",
Downtown,0.5,a ,2.3,a ,"1,476",a ,"1,395",a ,6.4,b ,"10,664",
South Granville/Oak,0.7,a ,1.4,a ,"1,359",a ,"1,280",a ,7.6,b ,"7,805",
Kitsilano/Point Grey,1.2,a ,1.6,a ,"1,392",a ,"1,328",a ,8.7,c ,"7,215",
Westside/Kerrisdale,2.0,c ,2.4,b ,"1,454",a ,"1,385",a ,4.1,c ,"3,084",
Marpole,0.6,a ,0.8,a ,985,a ,933,a ,6.3,c ,"4,000",
Mount Pleasant/Renfrew Heights,0.8,a ,0.8,a ,"1,148",a ,"1,075",a ,7.5,b ,"6,443",
East Hastings,0.8,a ,1.1,a ,"1,061",a ,"1,000",a ,4.3,c ,"5,313",
Southeast Vancouver,0.8,a ,1.4,a ,"1,239",b ,"1,173",a ,3.6,b ,"2,175",
University Endowment Lands,0.0,b ,0.2,a ,"1,766",a ,"1,651",a ,2.5,a ,"1,403",
Central Park/Metrotown,0.8,a ,1.0,a ,"1,125",a ,"1,000",a ,7.4,a ,"6,045",
Southeast Burnaby,0.7,a ,0.9,a ,970,a ,934,a ,6.2,b ,"2,361",
North Burnaby,1.0,a ,1.9,a ,"1,193",a ,"1,115",a ,6.4,a ,"4,135",
New Westminster,0.4,a ,0.6,a ,993,a ,938,a ,5.1,c ,"8,110",
North Vancouver CY,0.3,a ,1.1,a ,"1,249",a ,"1,200",a ,6.7,c ,"6,047",
North Vancouver DM,0.3,a ,0.4,a ,"1,517",a ,"1,375",a ,3.2,b ,"1,580",
West Vancouver,0.2,a ,0.6,a ,"1,746",a ,"1,581",a ,5.3,b ,"2,341",
Richmond,0.9,a ,1.1,a ,"1,304",a ,"1,200",a ,6.1,a ,"3,471",
Delta,0.0,b ,0.3,a ,963,a ,895,a ,5.9,c ,"1,727",
Surrey,0.4,a ,0.7,a ,960,a ,925,a ,7.4,a ,"5,892",
White Rock,0.1,b ,0.1,b ,943,a ,900,a ,2.2,c ,"1,377",
Langley City and Langley DM,1.0,a ,1.3,a ,"1,046",a ,981,a ,8.8,b ,"2,409",
Tri-Cities,1.6,a ,2.1,a ,"1,042",a ,975,a ,3.7,c ,"5,086",
Maple Ridge/Pitt Meadows,0.4,a ,0.7,a ,864,a ,863,a ,++,,"1,646",
Vancouver,0.7,a ,1.2,a ,"1,236",a ,"1,150",a ,6.4,a ,"110,973",

Notes
"The following letter codes are used to indicate the reliability of the estimates: a - Excellent, b- Very good, c - Good, d - Fair (Use with Caution)"
** Data suppressed to protect confidentiality or data not statistically reliable
++ Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0).  (Applies only to % Change of Average Rent Tables).
 - No units exist in the universe for this category
n/a: Not applicable
"CMA, CA and CSD definitions are based on 2016 Census Geography Definitions"
Source,CMHC Rental Market Survey
