Vancouver — Rental Market Statistics Summary by Zone
October 2015 Row / Apartment Bedroom Type - Total
,Vacancy Rate (%),,Availability Rate (%),,Average Rent ($),,Median Rent ($),,% Change,,Units,
West End/Stanley Park,0.5,a ,0.9,a ,"1,336",a ,"1,250",a ,6.1,a ,"3,876",
English Bay,0.3,a ,0.6,a ,"1,341",a ,"1,300",a ,6.4,b ,"6,789",
Downtown,0.6,a ,1.1,a ,"1,366",a ,"1,290",a ,4.6,a ,"10,385",
South Granville/Oak,0.6,a ,0.9,a ,"1,267",a ,"1,190",a ,5.0,b ,"7,790",
Kitsilano/Point Grey,0.6,a ,1.1,a ,"1,286",a ,"1,200",a ,3.9,c ,"7,187",
Westside/Kerrisdale,1.6,a ,2.1,a ,"1,397",a ,"1,287",a ,2.7,c ,"2,965",
Marpole,1.0,a ,1.4,a ,928,a ,900,a ,3.2,c ,"4,003",
Mount Pleasant/Renfrew Heights,0.4,a ,0.6,a ,"1,077",a ,"1,000",a ,3.3,c ,"6,362",
East Hastings,0.5,a ,0.9,a ,"1,015",a ,950,a ,2.3,c ,"5,095",
Southeast Vancouver,1.0,a ,1.1,a ,"1,122",a ,"1,100",a ,2.2,a ,"2,066",
University Endowment Lands,0.1,a ,0.3,a ,"1,720",a ,"1,620",a ,4.5,b ,"1,403",
Central Park/Metrotown,1.3,a ,1.7,a ,"1,045",a ,934,a ,3.4,b ,"6,159",
Southeast Burnaby,1.2,a ,1.4,a ,905,a ,878,a ,2.0,b ,"2,362",
North Burnaby,1.0,a ,1.6,a ,"1,112",a ,"1,075",a ,1.7,b ,"4,124",
New Westminster,0.9,a ,1.2,a ,933,a ,875,a ,2.6,a ,"8,068",
North Vancouver City,0.4,a ,1.1,a ,"1,163",a ,"1,100",a ,4.0,c ,"6,059",
North Vancouver DM,0.8,a ,1.2,a ,"1,462",a ,"1,300",a ,2.7,a ,"1,368",
West Vancouver,0.5,a ,0.9,a ,"1,669",a ,"1,475",a ,4.4,d ,"2,341",
Richmond,1.0,a ,1.2,a ,"1,223",a ,"1,170",a ,5.3,a ,"3,477",
Delta,0.6,a ,1.0,a ,920,a ,875,a ,0.8,d ,"1,724",
Surrey,1.9,a ,2.0,a ,898,a ,865,a ,3.2,c ,"5,901",
White Rock,0.8,a ,1.5,a ,918,a ,860,a ,3.5,c ,"1,378",
Langley City and Langley DM,1.5,a ,1.7,a ,943,a ,898,a ,5.0,c ,"2,396",
Tri-Cities,1.1,a ,1.6,a ,"1,005",a ,938,a ,6.2,b ,"5,191",
Maple Ridge/Pitt Meadows,1.5,a ,1.7,a ,858,a ,800,a ,4.5,b ,"1,555",
Vancouver,0.8,a ,1.2,a ,"1,156",a ,"1,073",a ,3.9,a ,"110,024",

Notes
"The following letter codes are used to indicate the reliability of the estimates: a - Excellent, b- Very good, c - Good, d - Fair (Use with Caution)"
** Data suppressed to protect confidentiality or data not statistically reliable
++ Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0).  (Applies only to % Change of Average Rent Tables).
 - No units exist in the universe for this category
n/a: Not applicable
"CMA, CA and CSD definitions are based on 2011 Census Geography Definitions"
Source,CMHC Rental Market Survey
