Vancouver — Rental Market Statistics Summary by Zone
October 2013 Row / Apartment Bedroom Type - Total
,Vacancy Rate (%),,Availability Rate (%),,Average Rent ($),,Median Rent ($),,% Change,,Units,
West End/Stanley Park,0.8,a ,1.7,a ,"1,239",a ,"1,135",a ,3.1,c ,"3,877",
English Bay,0.7,a ,1.6,a ,"1,202",a ,"1,150",a ,1.8,b ,"6,732",
Downtown,1.0,a ,2.1,a ,"1,251",a ,"1,200",a ,2.1,a ,"10,163",
South Granville/Oak,1.1,a ,1.8,a ,"1,196",a ,"1,100",a ,3.0,b ,"7,610",
Kitsilano/Point Grey,0.8,a ,1.5,a ,"1,205",a ,"1,143",a ,2.4,c ,"7,133",
Westside/Kerrisdale,1.1,a ,1.7,a ,"1,343",a ,"1,200",a ,++,,"2,974",
Marpole,2.4,a ,2.8,a ,889,a ,850,a ,1.5,c ,"4,012",
Mount Pleasant/Renfrew Heights,0.4,a ,1.1,a ,998,a ,930,a ,3.5,d ,"6,343",
East Hastings,1.4,a ,2.0,a ,938,a ,895,a ,1.3,d ,"5,046",
Southeast Vancouver,1.5,a ,2.8,a ,"1,063",a ,"1,035",a ,1.7,b ,"2,049",
University Endowment Lands,0.4,a ,1.2,a ,"1,640",a ,"1,557",a ,2.3,a ,"1,123",
Central Park/Metrotown,1.6,a ,2.6,a ,981,a ,900,a ,1.6,a ,"6,364",
Southeast Burnaby,2.3,a ,3.2,a ,877,a ,850,a ,2.7,a ,"2,354",
North Burnaby,2.5,a ,3.3,a ,"1,037",a ,950,a ,1.7,a ,"4,167",
New Westminster,2.2,a ,3.0,a ,885,a ,842,a ,1.9,a ,"7,982",
North Vancouver City,0.9,a ,1.6,a ,"1,073",a ,"1,039",a ,3.4,b ,"5,827",
North Vancouver DM,1.2,a ,2.6,a ,"1,401",a ,"1,200",a ,5.5,c ,"1,393",
West Vancouver,0.8,a ,1.4,a ,"1,508",a ,"1,300",a ,++,,"2,341",
Richmond,3.0,a ,3.8,a ,"1,143",a ,"1,100",a ,0.7,a ,"3,340",
Delta,2.6,a ,2.6,a ,892,a ,842,a ,1.9,a ,"1,640",
Surrey,4.2,a ,4.4,a ,867,a ,850,a ,4.0,a ,"5,917",
White Rock,3.9,b ,4.2,a ,884,a ,850,a ,++,,"1,393",
Langley City and Langley DM,2.3,a ,3.4,b ,896,a ,850,a ,5.6,d ,"2,336",
Tri-Cities,3.2,a ,4.5,a ,943,a ,875,a ,1.3,a ,"5,056",
Maple Ridge/Pitt Meadows,3.7,a ,4.9,a ,818,a ,765,a ,-1.0,a ,"1,494",
Vancouver,1.7,a ,2.5,a ,"1,078",a ,"1,000",a ,2.2,a ,"108,666",

Notes
"The following letter codes are used to indicate the reliability of the estimates: a - Excellent, b- Very good, c - Good, d - Fair (Use with Caution)"
** Data suppressed to protect confidentiality or data not statistically reliable
++ Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0).  (Applies only to % Change of Average Rent Tables).
 - No units exist in the universe for this category
n/a: Not applicable
"CMA, CA and CSD definitions are based on 2011 Census Geography Definitions"
Source,CMHC Rental Market Survey
