Vancouver — Rental Market Statistics Summary by Zone
October 2011 Row / Apartment Bedroom Type - Total
,Vacancy Rate (%),,Availability Rate (%),,Average Rent ($),,Median Rent ($),,% Change,,Units,
West End/Stanley Park,0.3,a ,0.9,a ,"1,161",a ,"1,050",a ,1.7,c ,"3,873",
English Bay,1.1,a ,1.4,a ,"1,142",a ,"1,100",a ,4.2,b ,"6,667",
Downtown,0.4,a ,1.1,a ,"1,252",a ,"1,150",a ,2.6,a ,"10,131",
South Granville/Oak,0.6,a ,1.2,a ,"1,134",a ,"1,050",a ,3.2,c ,"7,551",
Kitsilano/Point Grey,0.6,a ,1.1,a ,"1,173",a ,"1,100",a ,2.4,c ,"6,997",
Westside/Kerrisdale,1.3,a ,2.1,a ,"1,327",a ,"1,200",a ,2.7,c ,"3,050",
Marpole,0.9,a ,2.3,a ,846,a ,820,a ,1.4,a ,"4,032",
Mount Pleasant/Renfrew Heights,0.6,a ,1.0,a ,942,a ,900,a ,2.5,c ,"6,228",
East Hastings,0.8,a ,1.6,a ,886,a ,850,a ,4.0,c ,"4,931",
Southeast Vancouver,1.1,a ,3.0,a ,"1,010",a ,990,a ,2.1,b ,"1,976",
University Endowment Lands,0.4,a ,0.5,a ,"1,645",a ,"1,580",b ,2.0,c ,"1,168",
Central Park/Metrotown,1.8,a ,2.2,a ,950,a ,879,a ,1.2,a ,"6,427",
Southeast Burnaby,2.8,a ,3.0,a ,832,a ,800,a ,1.8,a ,"2,380",
North Burnaby,2.4,a ,3.6,a ,"1,008",a ,920,a ,3.3,b ,"4,186",
New Westminster,2.9,a ,4.0,a ,849,a ,800,a ,1.5,a ,"7,994",
North Vancouver City,0.5,a ,1.4,a ,"1,006",a ,958,a ,2.3,b ,"5,872",
North Vancouver DM,0.4,a ,2.4,a ,"1,227",a ,"1,150",a ,1.6,c ,"1,359",
West Vancouver,0.2,a ,1.2,a ,"1,475",a ,"1,300",a ,2.5,b ,"2,340",
Richmond,1.0,a ,1.5,a ,"1,067",a ,"1,050",a ,2.1,a ,"3,136",
Delta,1.5,a ,2.2,a ,838,a ,800,a ,1.2,a ,"1,590",
Surrey,3.9,a ,4.4,a ,836,a ,809,a ,++,,"5,793",
White Rock,0.7,a ,1.8,a ,865,a ,835,a ,1.2,a ,"1,381",
Langley City and Langley DM,3.2,b ,4.7,a ,852,a ,830,a ,1.9,b ,"2,266",
Tri-Cities,2.9,a ,4.0,a ,928,a ,850,a ,1.6,a ,"4,938",
Maple Ridge/Pitt Meadows,4.0,a ,5.1,a ,807,a ,760,a ,4.3,a ,"1,540",
Vancouver,1.4,a ,2.2,a ,"1,037",a ,950,a ,2.3,a ,"107,806",

Notes
"The following letter codes are used to indicate the reliability of the estimates: a - Excellent, b- Very good, c - Good, d - Fair (Use with Caution)"
** Data suppressed to protect confidentiality or data not statistically reliable
++ Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0).  (Applies only to % Change of Average Rent Tables).
 - No units exist in the universe for this category
n/a: Not applicable
"CMA, CA and CSD definitions are based on 2011 Census Geography Definitions"
Source,CMHC Rental Market Survey
